GaitPhase,pMMGMean_5,NewCol5
51.55155155,-0.683133939,-0.074079898
51.65165165,-0.673162089,-0.067534013
51.75175175,-0.665793078,-0.061794309
51.85185185,-0.664192422,-0.062521336
51.95195195,-0.65588024,-0.063248363
52.05205205,-0.648563439,-0.06397539
52.15215215,-0.639346872,-0.041674771
52.25225225,-0.629167269,-0.039058616
52.35235235,-0.627949874,-0.03644246
52.45245245,-0.617334469,-0.033826304
52.55255255,-0.60549863,-0.031210149
52.65265265,-0.596537752,-0.025493848
52.75275275,-0.586620403,-0.019209803
52.85285285,-0.582395833,-0.012925758
52.95295295,-0.576177756,-0.013065346
53.05305305,-0.561979135,-0.013981949
53.15315315,-0.554002672,-0.014898553
53.25325325,-0.539489109,-0.015815157
53.35335335,-0.531653259,-0.01673176
53.45345345,-0.523701429,0.008892325
53.55355355,-0.507921157,0.013380349
53.65365365,-0.498832963,0.017868373
53.75375375,-0.48700814,0.022356397
53.85385385,-0.477202114,0.028732464
53.95395395,-0.470122094,0.037459562
54.05405405,-0.448214568,0.046186661
54.15415415,-0.434762433,0.054913759
54.25425425,-0.421973248,0.056047953
54.35435435,-0.409433948,0.056341917
54.45445445,-0.402222713,0.056635881
54.55455455,-0.37816677,0.056929845
54.65465465,-0.364887889,0.089768667
54.75475475,-0.354267453,0.107206588
54.85485485,-0.340487194,0.117193099
54.95495495,-0.331195309,0.116020758
55.05505506,-0.312688045,0.114848418
55.15515516,-0.29601375,0.113676077
55.25525526,-0.282121673,0.112503737
55.35535536,-0.26574645,0.112765477
55.45545546,-0.255367909,0.127418375
55.55555556,-0.237017955,0.142071273
55.65565566,-0.218796388,0.15014282
55.75575576,-0.203691948,0.115624108
55.85585586,-0.189063548,0.136388627
55.95595596,-0.17866016,0.153826548
56.05605606,-0.166006308,0.17126447
56.15615616,-0.147691631,0.188702391
56.25625626,-0.135112076,0.180412609
56.35635636,-0.124960384,0.167504363
56.45645646,-0.119573494,0.175359145
56.55655656,-0.109469973,0.183213926
56.65665666,-0.098636559,0.190468349
56.75675676,-0.087824902,0.197450589
56.85685686,-0.077293562,0.204432828
