SquatPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGStd_1,pMMGStd_2,pMMGStd_3,pMMGStd_4,ThetaMean_1,ThetaMean_2,ThetaMean_3,ThetaMean_4
34.5345345345345,7.8835833741937,1.95282932755373,3.46777137117483,4.10773415271889,7.20669967680282,4.35849352159445,8.08655619047485,6.61282396990771,106.483002136677,106.888157746286,106.483002136677,106.888157746286
34.6346346346346,8.00386279849482,2.10566191429741,3.545831911759,4.29607355523667,7.09424555118115,4.36949849995334,7.97618202471025,6.60577156271585,106.16974600047,106.311685400117,106.16974600047,106.311685400117
34.7347347347347,8.10519858790514,2.30371273346641,3.57310471811339,4.50521454781209,7.01873164412373,4.31480291331193,7.89331619936208,6.5220037607555,105.880130528392,105.786855874735,105.880130528392,105.786855874735
34.8348348348348,8.23097440234318,2.5047268422346,3.59928321681408,4.69123078469056,6.88501946779006,4.44923705007396,7.80148879616137,6.58374182478129,105.590515063363,105.270546852583,105.590515063363,105.270546852583
34.9349349349349,8.35636359397365,2.63006625677925,3.622796169587,4.78538296474599,6.73680561285835,4.52325956816274,7.69837389526911,6.56051056739696,105.30089957981,104.738693899933,105.30089957981,104.738693899933
35.035035035035,8.42830448188649,2.75421121260219,3.61959161770702,4.89331389898951,6.6310925276824,4.53666967876054,7.6039961967101,6.51319317581293,105.025597497851,104.204440577748,105.025597497851,104.204440577748
35.1351351351351,8.57322315782984,2.87008209323465,3.59381799773439,4.95229518356726,6.43918990144218,4.68348192975338,7.58370981922264,6.5385610720699,104.716707417748,103.670000543243,104.716707417748,103.670000543243
35.2352352352352,8.65243507771939,2.88349350398069,3.57375223830561,4.9831945734728,6.33327776940015,4.72162851085243,7.54846470576837,6.5791097952959,104.368152009783,103.118014297958,104.368152009783,103.118014297958
35.3353353353353,8.71771142947472,2.87441344552966,3.59901426273691,5.0190257551338,6.24828034637329,4.8201419303081,7.52741842724737,6.6386618442862,104.019596604905,102.56057078653,104.019596604905,102.56057078653
35.4354354354354,8.88304421063175,2.93173158866055,3.67413760193466,5.12466725867413,6.07068611123441,4.99932429669108,7.41039560384963,6.8087638121143,103.67104120015,101.991311684655,103.67104120015,101.991311684655
35.5355355355355,8.99768466854773,2.96970557251923,3.79083196084616,5.22816299343362,5.94809879065827,5.16267754857101,7.29557485864127,6.90857106098874,103.322485792062,101.378261485542,103.322485792062,101.378261485542
35.6356356356356,9.18411498746465,3.00234054690903,3.97025976263383,5.35028704925597,5.72111459122411,5.25716182520238,7.07692469467847,6.95066215943358,102.94406999705,100.765211287628,102.94406999705,100.765211287628
35.7357357357357,9.28507679490871,3.07464566323169,4.05287064849274,5.4566283756959,5.59545761447542,5.36071438967005,6.99408980697011,6.98351972547041,102.542474501682,100.174933244054,102.542474501682,100.174933244054
35.8358358358358,9.3732442367982,3.21840468622208,4.12922997741758,5.72125450749148,5.49406166749476,5.41592862648367,6.904713247385,6.97216977116828,102.173802739146,99.6244235785285,102.173802739146,99.6244235785285
