GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,NewColumn,,
17.11711712,-2.005120242,-0.38091561,1.470134432,3.328130339,-0.573032977,-20.03485138,,
17.21721722,-2.012514037,-0.366529624,1.48064092,3.377203315,-0.596751873,-19.91200858,,
17.31731732,-1.996407832,-0.352956345,1.467647408,3.39296296,-0.583470768,-19.91980324,,
17.41741742,-1.991551638,-0.312576759,1.466469357,3.426961344,-0.577592621,-19.96531866,,
17.51751752,-1.965201689,-0.306301152,1.454322845,3.445155166,-0.551205195,-20.01083407,,
17.61761762,-1.91779478,-0.301158189,1.44652974,3.489671819,-0.524713698,-20.05634949,,
17.71771772,-1.887858341,-0.281274986,1.468098496,3.547925708,-0.537677657,-20.1018649,,
17.81781782,-1.846783764,-0.256825216,1.474236322,3.572334753,-0.520913888,-20.14738032,,
17.91791792,-1.813709187,-0.232751837,1.481374148,3.632179034,-0.494150118,-20.19289574,,
18.01801802,-1.786073804,-0.215682117,1.519925919,3.69529204,-0.48560403,-20.23841115,,
18.11811812,-1.760984423,-0.162193393,1.525681862,3.768755662,-0.48142824,-20.28392657,,
18.21821822,-1.744990561,-0.148757006,1.555605428,3.834575553,-0.485603529,-20.22253627,,
18.31831832,-1.701247763,-0.135320619,1.581712739,3.937395445,-0.449875444,-20.14580943,,
18.41841842,-1.689004965,-0.111884231,1.636710441,4.020715337,-0.415080292,-20.06908259,,
18.51851852,-1.685002908,-0.088947844,1.639131065,4.094035229,-0.399160015,-19.99235575,,
18.61861862,-1.670530517,-0.076129362,1.656288318,4.148324439,-0.382298707,-19.91562891,,
18.71871872,-1.668047945,-0.072783669,1.664120105,4.213990619,-0.35511107,-19.83890208,,
18.81881882,-1.64978835,-0.059370913,1.687287307,4.285304361,-0.326336884,-19.76217524,,
18.91891892,-1.648822936,-0.083458158,1.730999239,4.366618104,-0.312560355,-19.6854484,,
19.01901902,-1.621857521,-0.101045402,1.755711171,4.461931846,-0.242783826,-19.60872156,,
19.11911912,-1.603392107,-0.117132647,1.799923104,4.523745588,-0.215007297,-19.52532106,,
19.21921922,-1.574162071,-0.134090762,1.844199424,4.635033805,-0.18752756,-19.44171033,,
19.31931932,-1.512752682,-0.175507186,1.909791376,4.725342639,-0.152528149,-19.35809961,,
19.41941942,-1.455824775,-0.204043761,1.994375821,4.795348584,-0.101684895,-19.27448888,,
19.51951952,-1.423229728,-0.21397223,2.030159692,4.894332002,-0.056734994,-19.19087815,,
19.61961962,-1.400299552,-0.225009809,2.077821868,4.998508113,-0.009721098,-19.10726743,,
19.71971972,-1.364369376,-0.203547387,2.073984045,5.122184224,0.037292799,-19.0236567,,
19.81981982,-1.343658026,-0.183084965,2.080484699,5.192860335,0.066391634,-18.94004597,,
19.91991992,-1.311742514,-0.130663084,2.064266987,5.286865275,0.1016053,-18.83799441,,
20.02002002,-1.279827002,-0.100363186,2.031049276,5.386092633,0.128818966,-18.46704008,,
20.12012012,-1.247060138,-0.086198327,2.028004237,5.493799136,0.166903503,-18.09608575,,
20.22022022,-1.208366754,-0.075393829,2.003143265,5.587221854,0.196686957,-17.72513142,,
20.32032032,-1.183667538,-0.055030772,2.010224681,5.675185113,0.221075995,-17.35417709,,
20.42042042,-1.113237433,-0.032919968,2.052648677,5.804607832,0.257978074,-16.98322277,,
20.52052052,-1.073338413,0.007276423,2.110287856,5.915584605,0.297004064,-16.61226844,,
20.62062062,-1.034939393,0.036972813,2.192427035,6.035061378,0.302030054,-16.24131411,,
20.72072072,-0.995040372,0.078648514,2.267566214,6.158662877,0.339056044,-15.77521156,,
20.82082082,-0.966037596,0.094004083,2.342281978,6.265082784,0.35604176,-15.14414161,,
20.92092092,-0.950107067,0.094399334,2.399658795,6.361650283,0.371891054,-14.51307167,,
21.02102102,-0.925356536,0.081288079,2.473043351,6.478558122,0.390710342,-13.88200172,,
21.12112112,-0.901495846,0.096782429,2.536498064,6.606900396,0.413825368,-13.25093178,,
21.22122122,-0.872802573,0.10876777,2.556340164,6.764822249,0.442830283,-12.61986184,,
21.32132132,-0.86525945,0.136673405,2.612532114,6.91522336,0.460091456,-11.79221599,,
21.42142142,-0.837466327,0.135761659,2.645724063,7.084911771,0.527352627,-10.92243585,,
21.52152152,-0.829826583,0.173585719,2.68020321,7.213531434,0.573968117,-10.05265572,,
21.62162162,-0.840316736,0.184311968,2.692493367,7.336125643,0.626605794,-9.182875582,,
21.72172172,-0.823164981,0.200538216,2.717262425,7.454719852,0.672100115,-8.422023122,,
21.82182182,-0.817153868,0.180264465,2.721645098,7.556814061,0.718799642,-8.03911574,,
21.92192192,-0.797418529,0.149490714,2.734051293,7.69140827,0.743286957,-7.656208358,,
22.02202202,-0.813513021,0.199110468,2.754158189,7.829474767,0.784798795,-7.273300976,,
22.12212212,-0.806223129,0.255186155,2.75660943,7.978029797,0.814428252,-6.890393594,,
22.22222222,-0.81094554,0.312827988,2.785200914,8.11960204,0.848296221,-6.507486212,,
22.32232232,-0.802678963,0.338187186,2.824080355,8.196305539,0.893981489,-6.124578829,,
22.42242242,-0.789647621,0.380808146,2.881427264,8.289075104,0.936671762,-5.741671447,,
22.52252252,-0.793998662,0.41303321,2.955448849,8.375682507,0.98424692,-5.232610156,,
22.62262262,-0.794673527,0.455036601,3.044720683,8.477427773,1.031715971,-4.636808514,,
22.72272272,-0.771692236,0.512737883,3.170798323,8.576515485,1.07048232,-4.041006872,,
22.82282282,-0.775114126,0.551195921,3.289496162,8.681143738,1.156193003,-3.445205229,,
22.92292292,-0.770016853,0.590434203,3.426636888,8.802736525,1.203890668,-2.849403587,,
23.02302302,-0.753619492,0.626907183,3.499082037,8.95041423,1.272830405,-2.253601945,,
23.12312312,-0.744091001,0.635844128,3.549137797,9.089321665,1.306626999,-1.370911138,,
23.22322322,-0.739257705,0.665979271,3.577955319,9.227445319,1.329036206,0.018278155,,
23.32332332,-0.755029013,0.686636701,3.606320388,9.415472504,1.370444412,1.407467449,,
23.42342342,-0.771681879,0.735579133,3.633977593,9.59844085,1.374596444,2.796656743,,
23.52352352,-0.800356095,0.754179222,3.686517598,9.738611895,1.388067755,4.109919084,,
23.62362362,-0.824200971,0.779062696,3.744545065,9.857356684,1.404990146,5.40223036,,
23.72372372,-0.860202504,0.769536913,3.832284244,9.979755201,1.430909534,6.694541636,,
23.82382382,-0.906784617,0.810317937,3.924391792,10.0828384,1.461421514,7.606362563,,
23.92392392,-0.942299162,0.827402871,4.009146988,10.18753083,1.504270332,8.298354033,,
24.02402402,-0.960932813,0.869000048,4.109717612,10.30184922,1.560720792,8.990345503,,
24.12412412,-0.965821517,0.918208836,4.216687963,10.41616061,1.620083241,9.682336974,,
24.22422422,-0.973929492,0.972877084,4.317188997,10.5539795,1.687911584,10.37432844,,
24.32432432,-1.000287976,1.031548268,4.444013653,10.67479916,1.756695868,11.06631991,,
24.42442442,-1.002482296,1.066227796,4.575429401,10.77612099,1.832041714,11.49388385,,
24.52452452,-1.001988427,1.103407323,4.712682485,10.86494282,1.907445618,11.87615474,,
24.62462462,-1.008347471,1.11331707,4.867105652,10.98832456,1.97805444,12.25842562,,
24.72472472,-1.004372823,1.142729658,4.993457908,11.09870703,2.029609897,12.64069651,,
24.82482482,-1.023078857,1.156142247,5.090781636,11.19258951,2.068979167,12.78036964,,
24.92492492,-1.0083503,1.144554835,5.186793616,11.30197199,2.108985323,12.54930632,,
25.02502503,-1.016227144,1.162467424,5.293278985,11.40285446,2.137204932,12.31824299,,
25.12512513,-0.996694079,1.160563561,5.498873965,11.5237847,2.191672289,12.08717967,,
25.22522523,-1.004229481,1.188085099,5.539918405,11.64419553,2.170166221,11.85761242,,
25.32532533,-1.040812447,1.244212608,5.703927737,11.80637984,2.192678616,11.63078647,,
25.42542543,-1.063777795,1.251731008,5.763675308,11.94011871,2.206194013,11.40396053,,
25.52552553,-1.063978379,1.268467626,5.878946403,12.08362835,2.213703405,11.17713459,,
25.62562563,-1.121950983,1.297728268,5.996537197,12.23422357,2.244172962,10.95030865,,
25.72572573,-1.178420221,1.30563906,6.113630476,12.41310558,2.262641213,10.72348271,,
25.82582583,-1.203965724,1.34033831,6.220798398,12.5937655,2.305333143,10.49665676,,
25.92592593,-1.251613964,1.398538399,6.315521423,12.76762031,2.35425903,10.26983082,,
26.02602603,-1.271762205,1.460324072,6.412244448,12.95252917,2.415184916,10.04300488,,
26.12612613,-1.298410445,1.524938574,6.530467473,13.15682993,2.506110802,10.0174772,,
26.22622623,-1.310211686,1.611260283,6.65603004,13.35067122,2.597322545,10.23104333,,
26.32632633,-1.317667017,1.70546938,6.887541653,13.56631432,2.737286578,10.44460946,,
26.42642643,-1.306013814,1.771660459,7.105757573,13.77502949,2.859561887,10.65817559,,
26.52652653,-1.307677748,1.842590804,7.260599951,13.95493703,2.948687943,10.87174172,,
26.62662663,-1.331841682,1.881616754,7.386442328,14.13636945,3.049313999,11.08530785,,
26.72672673,-1.343505616,1.919142703,7.502284706,14.25730187,3.120440054,11.29887398,,
26.82682683,-1.34316955,1.938668653,7.618627084,14.32823429,3.19156611,11.51244011,,
26.92692693,-1.352355261,1.928694602,7.743584324,14.40463117,3.284894696,11.72600624,,
27.02702703,-1.371264638,1.946085417,7.867114597,14.46499102,3.355921944,12.28926221,,
27.12712713,-1.3666049,1.943232803,8.031441147,14.54848892,3.411003467,12.86981674,,
27.22722723,-1.360437154,1.959912459,8.22891034,14.62113051,3.503513918,13.45037126,,
27.32732733,-1.378834973,1.941175091,8.378429078,14.70125464,3.577860206,14.03092579,,
